Date of analysis,Country,Level 1,Total level 1 population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#loc+level1,#population,#meta+projection,#date+start,#date+end,#meta+phase,#affected+num+ipc,#affected+pct+ipc
Jan 2018,AFG,Badakhshan,,current,2017-11-01,2018-02-28,all,982835,1.0
Jan 2018,AFG,Badakhshan,,current,2017-11-01,2018-02-28,3+,512103,0.52
Jan 2018,AFG,Badakhshan,,current,2017-11-01,2018-02-28,1,178258,0.18
Jan 2018,AFG,Badakhshan,,current,2017-11-01,2018-02-28,2,292473,0.3
Jan 2018,AFG,Badakhshan,,current,2017-11-01,2018-02-28,3,292284,0.3
Jan 2018,AFG,Badakhshan,,current,2017-11-01,2018-02-28,4,219819,0.22
Jan 2018,AFG,Badakhshan,,current,2017-11-01,2018-02-28,5,0,0
Jan 2018,AFG,Takhar,,current,2017-11-01,2018-02-28,all,1017575,1.0
Jan 2018,AFG,Takhar,,current,2017-11-01,2018-02-28,3+,370904,0.37
Jan 2018,AFG,Takhar,,current,2017-11-01,2018-02-28,1,197135,0.19
Jan 2018,AFG,Takhar,,current,2017-11-01,2018-02-28,2,449537,0.44
Jan 2018,AFG,Takhar,,current,2017-11-01,2018-02-28,3,284022,0.28
Jan 2018,AFG,Takhar,,current,2017-11-01,2018-02-28,4,86882,0.09
Jan 2018,AFG,Takhar,,current,2017-11-01,2018-02-28,5,0,0
Jan 2018,AFG,Baghlan,,current,2017-11-01,2018-02-28,all,946394,1.0
Jan 2018,AFG,Baghlan,,current,2017-11-01,2018-02-28,3+,223898,0.24
Jan 2018,AFG,Baghlan,,current,2017-11-01,2018-02-28,1,306818,0.32
Jan 2018,AFG,Baghlan,,current,2017-11-01,2018-02-28,2,415679,0.44
Jan 2018,AFG,Baghlan,,current,2017-11-01,2018-02-28,3,179050,0.19
Jan 2018,AFG,Baghlan,,current,2017-11-01,2018-02-28,4,44848,0.05
Jan 2018,AFG,Baghlan,,current,2017-11-01,2018-02-28,5,0,0
Jan 2018,AFG,Kunduz,,current,2017-11-01,2018-02-28,all,979973,1.0
Jan 2018,AFG,Kunduz,,current,2017-11-01,2018-02-28,3+,195143,0.2
Jan 2018,AFG,Kunduz,,current,2017-11-01,2018-02-28,1,417771,0.43
Jan 2018,AFG,Kunduz,,current,2017-11-01,2018-02-28,2,367059,0.37
Jan 2018,AFG,Kunduz,,current,2017-11-01,2018-02-28,3,136097,0.14
Jan 2018,AFG,Kunduz,,current,2017-11-01,2018-02-28,4,59046,0.06
Jan 2018,AFG,Kunduz,,current,2017-11-01,2018-02-28,5,0,0
May 2017,AFG,Laghman,,current,2017-05-01,2017-07-31,all,500738,1.0
May 2017,AFG,Laghman,,current,2017-05-01,2017-07-31,3+,131262,0.26
May 2017,AFG,Laghman,,current,2017-05-01,2017-07-31,1,164287,0.33
May 2017,AFG,Laghman,,current,2017-05-01,2017-07-31,2,195174,0.39
May 2017,AFG,Laghman,,current,2017-05-01,2017-07-31,3,84365,0.17
May 2017,AFG,Laghman,,current,2017-05-01,2017-07-31,4,46898,0.09
May 2017,AFG,Laghman,,current,2017-05-01,2017-07-31,5,0,0
May 2017,AFG,Kunar,,current,2017-05-01,2017-07-31,all,468127,1.0
May 2017,AFG,Kunar,,current,2017-05-01,2017-07-31,3+,98846,0.21
May 2017,AFG,Kunar,,current,2017-05-01,2017-07-31,1,210162,0.44
May 2017,AFG,Kunar,,current,2017-05-01,2017-07-31,2,150185,0.32
May 2017,AFG,Kunar,,current,2017-05-01,2017-07-31,3,65096,0.14
May 2017,AFG,Kunar,,current,2017-05-01,2017-07-31,4,33749,0.07
May 2017,AFG,Kunar,,current,2017-05-01,2017-07-31,5,,
May 2017,AFG,Nuristan,,current,2017-05-01,2017-07-31,all,127984,1.0
May 2017,AFG,Nuristan,,current,2017-05-01,2017-07-31,3+,28415,0.23
May 2017,AFG,Nuristan,,current,2017-05-01,2017-07-31,1,44972,0.35
May 2017,AFG,Nuristan,,current,2017-05-01,2017-07-31,2,52037,0.41
May 2017,AFG,Nuristan,,current,2017-05-01,2017-07-31,3,18598,0.15
May 2017,AFG,Nuristan,,current,2017-05-01,2017-07-31,4,9817,0.08
May 2017,AFG,Nuristan,,current,2017-05-01,2017-07-31,5,0,0
May 2017,AFG,Nangarhar,,current,2017-05-01,2017-07-31,all,1894320,1.0
May 2017,AFG,Nangarhar,,current,2017-05-01,2017-07-31,3+,471235,0.24
May 2017,AFG,Nangarhar,,current,2017-05-01,2017-07-31,1,662665,0.35
May 2017,AFG,Nangarhar,,current,2017-05-01,2017-07-31,2,740430,0.39
May 2017,AFG,Nangarhar,,current,2017-05-01,2017-07-31,3,292800,0.15
May 2017,AFG,Nangarhar,,current,2017-05-01,2017-07-31,4,178435,0.09
May 2017,AFG,Nangarhar,,current,2017-05-01,2017-07-31,5,0,0
